date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:49:15	222712/222712	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%225851d53d-365f8%22	http://findmatthew.com/fonts/mdi/fonts/materialdesignicons-webfont.eot?v=1.5.54	/home/prakhar/websites/a/findmatthew.com/fonts/mdi/fonts/materialdesignicons-webfont0c8b.eot	(from http://findmatthew.com/fonts/mdi/css/materialdesignicons.min.css)
15:49:22	85332/85332	---M--	200	added ('OK')	font/woff2	etag:%225851d53d-14d54%22	http://findmatthew.com/fonts/mdi/fonts/materialdesignicons-webfont.woff2?v=1.5.54	/home/prakhar/websites/a/findmatthew.com/fonts/mdi/fonts/materialdesignicons-webfont0c8b.woff2	(from http://findmatthew.com/fonts/mdi/css/materialdesignicons.min.css)
15:49:35	1687945/1687945	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%225851d53d-19c189%22	http://findmatthew.com/fonts/mdi/fonts/materialdesignicons-webfont.svg?v=1.5.54	/home/prakhar/websites/a/findmatthew.com/fonts/mdi/fonts/materialdesignicons-webfont0c8b.svg	(from http://findmatthew.com/fonts/mdi/css/materialdesignicons.min.css)
15:49:35	110196/110196	---M--	200	added ('OK')	font/woff	etag:%225851d53d-1ae74%22	http://findmatthew.com/fonts/mdi/fonts/materialdesignicons-webfont.woff?v=1.5.54	/home/prakhar/websites/a/findmatthew.com/fonts/mdi/fonts/materialdesignicons-webfont0c8b.woff	(from http://findmatthew.com/fonts/mdi/css/materialdesignicons.min.css)
15:49:52	178520/178520	---M--	200	added ('OK')	font/ttf	etag:%225851d53d-2b958%22	http://findmatthew.com/fonts/Raleway-Regular.ttf	/home/prakhar/websites/a/findmatthew.com/fonts/Raleway-Regular.ttf	(from http://findmatthew.com/style/style.css)
15:49:52	222492/222492	---M--	200	added ('OK')	font/ttf	etag:%225851d53d-3651c%22	http://findmatthew.com/fonts/mdi/fonts/materialdesignicons-webfont.ttf?v=1.5.54	/home/prakhar/websites/a/findmatthew.com/fonts/mdi/fonts/materialdesignicons-webfont0c8b.ttf	(from http://findmatthew.com/fonts/mdi/css/materialdesignicons.min.css)
15:49:58	9340/9340	---MCZ	404	error ('Not%20Found')	text/html	etag:W/%2258389366-247c%22	http://findmatthew.com/img/thumb-7.jpg	/home/prakhar/websites/a/findmatthew.com/img/thumb-7.34.delayed	(from http://findmatthew.com/style/style.css)
15:50:01	180492/180492	---M--	200	added ('OK')	font/ttf	etag:%225851d53d-2c10c%22	http://findmatthew.com/fonts/Raleway-SemiBold.ttf	/home/prakhar/websites/a/findmatthew.com/fonts/Raleway-SemiBold.ttf	(from http://findmatthew.com/style/style.css)
15:50:02	9340/9340	---MCZ	404	error ('Not%20Found')	text/html	etag:W/%22582a2740-247c%22	http://findmatthew.com/img/thumb-8.jpg	/home/prakhar/websites/a/findmatthew.com/img/thumb-8.35.delayed	(from http://findmatthew.com/style/style.css)
15:50:05	9340/9340	---MCZ	404	error ('Not%20Found')	text/html	etag:W/%2258389366-247c%22	http://findmatthew.com/img/thumb-9.jpg	/home/prakhar/websites/a/findmatthew.com/img/thumb-9.36.delayed	(from http://findmatthew.com/style/style.css)
15:50:05	179244/179244	---M--	200	added ('OK')	font/ttf	etag:%225851d53d-2bc2c%22	http://findmatthew.com/fonts/Raleway-Bold.ttf	/home/prakhar/websites/a/findmatthew.com/fonts/Raleway-Bold.ttf	(from http://findmatthew.com/style/style.css)
15:50:09	9340/9340	---MCZ	404	error ('Not%20Found')	text/html	etag:W/%2258389366-247c%22	http://findmatthew.com/img/thumb-10.jpg	/home/prakhar/websites/a/findmatthew.com/img/thumb-10.37.delayed	(from http://findmatthew.com/style/style.css)
15:50:12	9340/9340	---MCZ	404	error ('Not%20Found')	text/html	etag:W/%22582a2740-247c%22	http://findmatthew.com/img/thumb-11.jpg	/home/prakhar/websites/a/findmatthew.com/img/thumb-11.38.delayed	(from http://findmatthew.com/style/style.css)
15:50:17	9340/9340	---MCZ	404	error ('Not%20Found')	text/html	etag:W/%22583c90dd-247c%22	http://findmatthew.com/img/thumb-12.jpg	/home/prakhar/websites/a/findmatthew.com/img/thumb-12.39.delayed	(from http://findmatthew.com/style/style.css)
15:50:22	491716/491716	---M--	200	added ('OK')	image/png	etag:%225851d53d-780c4%22	http://findmatthew.com/img/filler.png	/home/prakhar/websites/a/findmatthew.com/img/filler.png	(from http://findmatthew.com/style/style.css)
